ID,Condition,Set,TrialIndex,trial_id,task_num,Front_Char,Back_Char,status_used,status_label_used,User_Key,Accuracy,RT,Result_Type,Judgment_JP,image_name,folder_name,file_name,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,status_label,back_char,Timestamp
000,Bright,0,1,000_0_1,1,K,6,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_1_K_6_taxi_gamma1.199_equalization2.065_contrast1.314.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\6_taxi.png,gamma,1.199,equalization,2.065,contrast,1.314,4,Ignore,6,
000,Bright,0,2,000_0_2,2,4,4,1,Match,,0,,Omission,無反応（ターゲット）,000_0_2_4_4_levorg_blur5_contrast0.641_sharpness1.671.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\4_levorg.png,blur,5.0,contrast,0.641,sharpness,1.671,1,Match,4,
000,Bright,0,3,000_0_3,3,R,6,4,Ignore,b,0,1.6315841674804688,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_3_R_6_truck_equalization2.802_gamma1.436_blur1.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\6_truck.png,equalization,2.802,gamma,1.436,blur,1.0,4,Ignore,6,2025-12-21 02:47:53.344146
000,Bright,0,4,000_0_4,4,E,3,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_4_E_3_KeiTruck_equalization3.78_contrast0.827_sharpness1.114.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\3_KeiTruck.png,equalization,3.78,contrast,0.827,sharpness,1.114,4,Ignore,3,
000,Bright,0,5,000_0_5,5,8,8,1,Match,,0,,Omission,無反応（ターゲット）,000_0_5_8_8_levorg_sharpness1.55_contrast1.079_blur2.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\8_levorg.png,sharpness,1.55,contrast,1.079,blur,2.0,1,Match,8,
000,Bright,0,6,000_0_6,6,4,8,2,Mismatch,t,0,1.3766131401062012,FalseAlarm,誤り（不一致なのにb以外）,000_0_6_4_8_KeiTruck_equalization3.464_brightness27_sharpness1.282.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\8_KeiTruck.png,equalization,3.464,brightness,27.0,sharpness,1.282,2,Mismatch,8,2025-12-21 02:48:00.588651
000,Bright,0,7,000_0_7,7,H,7,4,Ignore,b,0,2.1045596599578857,FalseAlarm,誤反応（無視(IGNORE)で押した）,000_0_7_H_7_truck_brightness-18_contrast1.066_gamma1.004.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\7_truck.png,brightness,-18.0,contrast,1.066,gamma,1.004,4,Ignore,7,2025-12-21 02:48:03.816901
000,Bright,0,8,000_0_8,8,K,4,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_8_K_4_taxi_sharpness1.188_blur2_gamma1.143.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\4_taxi.png,sharpness,1.188,blur,2.0,gamma,1.143,4,Ignore,4,
000,Bright,0,9,000_0_9,9,G,2,4,Ignore,,1,,CorrectRejection,正解（無視(IGNORE)：押さない）,000_0_9_G_2_taxi_equalization2.876_blur5_gamma1.5.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\2_taxi.png,equalization,2.876,blur,5.0,gamma,1.5,4,Ignore,2,
000,Bright,0,10,000_0_10,10,9,9,1,Match,,0,,Omission,無反応（ターゲット）,000_0_10_9_9_truck_gamma0.609_brightness4_sharpness0.572.jpg,0,0,F:\pictures_verify\transformed_verify\roomBright_figureDark\9_truck.png,gamma,0.609,brightness,4.0,sharpness,0.572,1,Match,9,
